0	:invoke	:read	nil
0	:ok	:read	[]
1	:invoke	:broadcast	0
1	:ok	:broadcast	0
2	:invoke	:broadcast	1
2	:ok	:broadcast	1
3	:invoke	:read	nil
3	:ok	:read	[0 1]
4	:invoke	:read	nil
4	:ok	:read	[0 1]
0	:invoke	:read	nil
0	:ok	:read	[0 1]
0	:invoke	:broadcast	2
1	:invoke	:read	nil
0	:ok	:broadcast	2
1	:ok	:read	[1 0]
2	:invoke	:read	nil
2	:ok	:read	[0 1 2]
3	:invoke	:broadcast	3
3	:ok	:broadcast	3
4	:invoke	:read	nil
4	:ok	:read	[0 1 2 3]
0	:invoke	:broadcast	4
0	:ok	:broadcast	4
0	:invoke	:broadcast	5
0	:ok	:broadcast	5
1	:invoke	:broadcast	6
1	:ok	:broadcast	6
2	:invoke	:read	nil
2	:ok	:read	[3 4 5 6 0 1 2]
3	:invoke	:read	nil
3	:ok	:read	[3 4 5 6 0 1 2]
4	:invoke	:broadcast	7
4	:ok	:broadcast	7
0	:invoke	:read	nil
0	:ok	:read	[2 3 4 5 6 7 0 1]
0	:invoke	:broadcast	8
0	:ok	:broadcast	8
1	:invoke	:broadcast	9
1	:ok	:broadcast	9
2	:invoke	:read	nil
2	:ok	:read	[7 0 2 3 5 6 1 4 8 9]
3	:invoke	:broadcast	10
3	:ok	:broadcast	10
4	:invoke	:broadcast	11
4	:ok	:broadcast	11
0	:invoke	:read	nil
0	:ok	:read	[6 8 10 11 2 4 3 5 7 9 0 1]
0	:invoke	:broadcast	12
0	:ok	:broadcast	12
1	:invoke	:read	nil
1	:ok	:read	[9 5 10 0 1 2 3 12 11 4 6 7 8]
2	:invoke	:read	nil
3	:invoke	:broadcast	13
2	:ok	:read	[6 7 3 5 12 4 11 0 2 9 10 1 8]
3	:ok	:broadcast	13
4	:invoke	:broadcast	14
4	:ok	:broadcast	14
0	:invoke	:broadcast	15
0	:ok	:broadcast	15
0	:invoke	:read	nil
0	:ok	:read	[1 5 12 6 8 10 9 13 15 0 3 7 14 2 4 11]
1	:invoke	:broadcast	16
1	:ok	:broadcast	16
2	:invoke	:read	nil
2	:ok	:read	[3 5 6 7 13 4 11 12 15 16 0 2 1 8 9 10 14]
3	:invoke	:read	nil
3	:ok	:read	[1 5 0 6 7 9 14 4 16 11 3 8 10 12 13 15 2]
4	:invoke	:read	nil
4	:ok	:read	[0 1 4 13 14 15 5 6 10 12 3 2 7 8 9 11 16]
0	:invoke	:read	nil
0	:ok	:read	[1 5 12 6 8 10 9 13 15 0 3 7 14 16 2 4 11]
0	:invoke	:read	nil
0	:ok	:read	[0 3 7 9 13 15 2 4 11 14 16 1 5 12 6 8 10]
1	:invoke	:broadcast	17
1	:ok	:broadcast	17
2	:invoke	:broadcast	18
2	:ok	:broadcast	18
3	:invoke	:read	nil
3	:ok	:read	[11 16 17 12 13 15 2 3 8 10 0 1 5 14 18 4 6 7 9]
4	:invoke	:read	nil
4	:ok	:read	[3 2 7 8 9 11 16 18 0 1 4 13 14 15 5 6 10 12 17]
0	:invoke	:read	nil
0	:ok	:read	[6 8 10 18 13 15 17 0 3 7 9 16 2 4 11 14 1 5 12]
0	:invoke	:read	nil
0	:ok	:read	[1 5 12 18 6 8 10 9 13 15 17 0 3 7 14 16 2 4 11]
1	:invoke	:broadcast	19
1	:ok	:broadcast	19
2	:invoke	:read	nil
2	:ok	:read	[13 19 3 5 6 7 16 4 11 12 15 0 2 17 18 14 1 8 9 10]
3	:invoke	:broadcast	20
3	:ok	:broadcast	20
4	:invoke	:broadcast	21
4	:ok	:broadcast	21
0	:invoke	:read	nil
0	:ok	:read	[8 10 18 19 21 6 3 7 9 13 15 17 20 0 4 11 14 16 2 5 12 1]
0	:invoke	:broadcast	22
0	:ok	:broadcast	22
1	:invoke	:broadcast	23
1	:ok	:broadcast	23
2	:invoke	:read	nil
2	:ok	:read	[4 11 12 15 16 23 0 2 17 18 22 20 21 1 8 9 10 14 19 3 5 6 7 13]
3	:invoke	:broadcast	24
3	:ok	:broadcast	24
4	:invoke	:broadcast	25
4	:ok	:broadcast	25
0	:invoke	:read	nil
