:nemesis	:info	:start-partition	:majority
0	:invoke	:read	nil
0	:ok	:read	371
1	:invoke	:read	nil
1	:ok	:read	192
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	371
0	:invoke	:read	nil
0	:ok	:read	371
1	:invoke	:read	nil
1	:ok	:read	192
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	371
0	:invoke	:read	nil
0	:ok	:read	371
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	371
0	:invoke	:read	nil
0	:ok	:read	371
1	:invoke	:read	nil
1	:ok	:read	193
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	375
1	:invoke	:read	nil
1	:ok	:read	193
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	375
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	193
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:read	nil
1	:invoke	:add	4
0	:ok	:read	376
1	:ok	:add	4
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	197
2	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	376
0	:invoke	:read	nil
0	:ok	:read	376
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:read	nil
2	:ok	:read	169
0	:invoke	:read	nil
0	:ok	:read	376
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	379
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:read	nil
2	:ok	:read	170
0	:invoke	:read	nil
0	:ok	:read	379
0	:invoke	:read	nil
0	:ok	:read	379
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:read	nil
2	:ok	:read	170
0	:invoke	:read	nil
0	:ok	:read	379
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	383
0	:invoke	:read	nil
0	:ok	:read	383
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:read	nil
2	:ok	:read	173
0	:invoke	:read	nil
0	:ok	:read	383
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:read	nil
2	:ok	:read	173
0	:invoke	:read	nil
0	:ok	:read	383
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	197
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	384
0	:invoke	:read	nil
0	:ok	:read	384
1	:invoke	:add	4
2	:invoke	:add	2
1	:ok	:add	4
2	:ok	:add	2
0	:invoke	:add	3
1	:invoke	:read	nil
0	:ok	:add	3
1	:ok	:read	201
1	:invoke	:read	nil
1	:ok	:read	201
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	387
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:read	nil
1	:ok	:read	201
2	:invoke	:read	nil
0	:invoke	:read	nil
2	:ok	:read	177
0	:ok	:read	390
0	:invoke	:read	nil
0	:ok	:read	390
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	390
0	:invoke	:read	nil
0	:ok	:read	390
1	:invoke	:read	nil
1	:ok	:read	204
2	:invoke	:read	nil
2	:ok	:read	178
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
1	:invoke	:add	4
0	:ok	:read	390
1	:ok	:add	4
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
1	:invoke	:add	4
0	:ok	:read	390
1	:ok	:add	4
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	180
0	:invoke	:read	nil
0	:ok	:read	390
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	390
1	:ok	:read	216
2	:invoke	:read	nil
2	:ok	:read	180
0	:invoke	:read	nil
0	:ok	:read	390
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	391
0	:invoke	:read	nil
0	:ok	:read	391
1	:invoke	:read	nil
1	:ok	:read	217
2	:invoke	:read	nil
2	:ok	:read	182
0	:invoke	:read	nil
0	:ok	:read	391
0	:invoke	:read	nil
0	:ok	:read	391
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	182
0	:invoke	:read	nil
0	:ok	:read	391
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	392
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:read	nil
2	:ok	:read	186
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:read	nil
0	:invoke	:read	nil
0	:ok	:read	395
2	:ok	:read	186
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:read	nil
2	:ok	:read	186
0	:invoke	:read	nil
0	:ok	:read	395
0	:invoke	:read	nil
0	:ok	:read	395
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	395
0	:invoke	:read	nil
0	:ok	:read	395
1	:invoke	:read	nil
1	:ok	:read	220
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	395
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	190
0	:invoke	:read	nil
0	:ok	:read	396
0	:invoke	:read	nil
0	:ok	:read	396
1	:invoke	:read	nil
1	:ok	:read	221
2	:invoke	:read	nil
2	:ok	:read	190
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	398
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	190
0	:invoke	:read	nil
0	:ok	:read	398
0	:invoke	:read	nil
0	:ok	:read	398
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	190
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	399
1	:invoke	:read	nil
1	:ok	:read	226
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	399
0	:invoke	:read	nil
0	:ok	:read	399
1	:invoke	:read	nil
1	:ok	:read	226
2	:invoke	:read	nil
2	:ok	:read	194
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	226
2	:invoke	:read	nil
2	:ok	:read	194
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	407
1	:invoke	:read	nil
2	:invoke	:add	0
1	:ok	:read	226
2	:ok	:add	0
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	411
1	:invoke	:read	nil
1	:ok	:read	226
2	:invoke	:read	nil
2	:ok	:read	194
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	414
1	:ok	:read	226
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	226
2	:invoke	:read	nil
2	:ok	:read	196
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	196
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	427
1	:invoke	:read	nil
1	:ok	:read	231
2	:invoke	:read	nil
2	:ok	:read	197
0	:invoke	:read	nil
0	:ok	:read	427
0	:invoke	:read	nil
0	:ok	:read	427
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	427
0	:invoke	:read	nil
0	:ok	:read	427
1	:invoke	:read	nil
1	:ok	:read	235
2	:invoke	:read	nil
2	:ok	:read	198
0	:invoke	:read	nil
0	:ok	:read	427
0	:invoke	:read	nil
0	:ok	:read	427
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	198
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	428
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	198
0	:invoke	:read	nil
0	:ok	:read	428
0	:invoke	:read	nil
0	:ok	:read	428
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	198
0	:invoke	:read	nil
0	:ok	:read	428
0	:invoke	:read	nil
0	:ok	:read	428
1	:invoke	:read	nil
1	:ok	:read	241
2	:invoke	:read	nil
2	:ok	:read	198
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	430
1	:invoke	:add	2
2	:invoke	:add	0
2	:ok	:add	0
1	:ok	:add	2
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
1	:invoke	:add	1
0	:ok	:read	433
1	:ok	:add	1
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	433
0	:invoke	:read	nil
0	:ok	:read	433
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:read	nil
0	:ok	:read	433
0	:invoke	:read	nil
0	:ok	:read	433
1	:invoke	:read	nil
1	:ok	:read	247
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	436
1	:invoke	:read	nil
1	:ok	:read	247
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	436
0	:invoke	:read	nil
1	:invoke	:add	3
0	:ok	:read	436
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	439
1	:invoke	:add	4
2	:invoke	:read	nil
2	:ok	:read	199
1	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	439
0	:invoke	:read	nil
0	:ok	:read	439
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:read	nil
0	:ok	:read	439
0	:invoke	:read	nil
0	:ok	:read	439
1	:invoke	:add	3
1	:ok	:add	3
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:read	nil
0	:ok	:read	439
0	:invoke	:read	nil
0	:ok	:read	439
1	:invoke	:read	nil
1	:ok	:read	260
2	:invoke	:read	nil
2	:ok	:read	199
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:add	1
1	:invoke	:read	nil
1	:ok	:read	260
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	260
2	:invoke	:read	nil
2	:ok	:read	202
0	:invoke	:read	nil
0	:ok	:read	444
0	:invoke	:read	nil
0	:ok	:read	444
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:add	3
0	:invoke	:read	nil
0	:ok	:read	444
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	444
1	:invoke	:read	nil
1	:ok	:read	261
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	444
0	:invoke	:read	nil
0	:ok	:read	444
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	263
2	:invoke	:read	nil
2	:ok	:read	209
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	209
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:read	nil
1	:ok	:read	267
2	:invoke	:read	nil
2	:ok	:read	209
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:read	nil
1	:ok	:read	267
2	:invoke	:read	nil
2	:ok	:read	210
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:read	nil
1	:ok	:read	267
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:read	nil
1	:ok	:read	267
2	:invoke	:read	nil
2	:ok	:read	212
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:read	nil
2	:ok	:read	212
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:read	nil
0	:ok	:read	449
1	:invoke	:read	nil
1	:ok	:read	271
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	449
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	271
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	451
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	213
0	:invoke	:read	nil
0	:ok	:read	452
0	:invoke	:read	nil
0	:ok	:read	452
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
2	:ok	:read	213
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	456
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
2	:ok	:read	213
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	458
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:add	4
2	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	458
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
0	:invoke	:add	4
2	:ok	:read	217
0	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
2	:ok	:read	217
0	:invoke	:read	nil
0	:ok	:read	466
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
2	:ok	:read	217
0	:invoke	:read	nil
0	:ok	:read	467
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	273
2	:invoke	:read	nil
2	:ok	:read	217
0	:invoke	:read	nil
0	:ok	:read	467
0	:invoke	:read	nil
0	:ok	:read	467
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	217
0	:invoke	:read	nil
0	:ok	:read	467
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	274
2	:invoke	:add	3
2	:ok	:add	3
0	:invoke	:read	nil
0	:ok	:read	468
0	:invoke	:read	nil
0	:ok	:read	468
1	:invoke	:read	nil
1	:ok	:read	274
2	:invoke	:read	nil
2	:ok	:read	220
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	274
2	:invoke	:read	nil
2	:ok	:read	220
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:read	nil
0	:ok	:read	477
1	:invoke	:read	nil
1	:ok	:read	274
2	:invoke	:read	nil
2	:ok	:read	220
0	:invoke	:read	nil
0	:ok	:read	477
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:read	nil
1	:ok	:read	274
2	:invoke	:read	nil
2	:ok	:read	220
0	:invoke	:read	nil
0	:ok	:read	478
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:add	4
1	:ok	:add	4
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	478
0	:invoke	:read	nil
0	:ok	:read	478
1	:invoke	:read	nil
1	:ok	:read	278
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	478
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
1	:ok	:read	278
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	3
0	:ok	:add	3
0	:invoke	:add	3
0	:ok	:add	3
1	:invoke	:add	1
1	:ok	:add	1
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:read	nil
0	:ok	:read	486
0	:invoke	:read	nil
0	:ok	:read	486
1	:invoke	:read	nil
1	:ok	:read	279
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:read	nil
0	:ok	:read	486
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:read	nil
0	:ok	:read	487
0	:invoke	:read	nil
0	:ok	:read	487
1	:invoke	:read	nil
1	:ok	:read	281
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:read	nil
0	:ok	:read	487
0	:invoke	:add	4
0	:ok	:add	4
1	:invoke	:read	nil
1	:ok	:read	281
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:read	nil
0	:ok	:read	491
0	:invoke	:read	nil
0	:ok	:read	491
1	:invoke	:read	nil
1	:ok	:read	281
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:add	2
0	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	493
1	:invoke	:read	nil
1	:ok	:read	281
2	:invoke	:add	0
2	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	493
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:add	2
1	:ok	:add	2
2	:invoke	:read	nil
2	:ok	:read	224
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:add	2
0	:ok	:add	2
1	:invoke	:read	nil
2	:invoke	:add	4
1	:ok	:read	283
2	:ok	:add	4
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	498
1	:ok	:read	283
1	:invoke	:read	nil
1	:ok	:read	283
2	:invoke	:add	1
2	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	498
0	:invoke	:read	nil
0	:ok	:read	498
1	:invoke	:add	0
1	:ok	:add	0
2	:invoke	:read	nil
2	:ok	:read	229
0	:invoke	:read	nil
1	:invoke	:add	1
2	:invoke	:read	nil
0	:ok	:read	498
1	:ok	:add	1
2	:ok	:read	229
2	:invoke	:read	nil
2	:ok	:read	229
0	:invoke	:read	nil
0	:ok	:read	498
0	:invoke	:read	nil
0	:ok	:read	498
1	:invoke	:read	nil
1	:ok	:read	284
2	:invoke	:read	nil
2	:ok	:read	229
0	:invoke	:read	nil
0	:ok	:read	498
0	:invoke	:add	0
0	:ok	:add	0
1	:invoke	:read	nil
1	:ok	:read	284
2	:invoke	:add	2
2	:ok	:add	2
0	:invoke	:add	1
0	:ok	:add	1
0	:invoke	:read	nil
0	:ok	:read	499
1	:invoke	:read	nil
2	:invoke	:add	2
1	:ok	:read	284
2	:ok	:add	2
0	:invoke	:read	nil
0	:ok	:read	499
0	:invoke	:read	nil
0	:ok	:read	499
1	:invoke	:read	nil
1	:ok	:read	284
2	:invoke	:read	nil
2	:ok	:read	233
0	:invoke	:add	4
0	:ok	:add	4
0	:invoke	:add	1
0	:ok	:add	1
1	:invoke	:add	4
2	:invoke	:read	nil
2	:ok	:read	233
1	:ok	:add	4
0	:invoke	:add	0
0	:ok	:add	0
0	:invoke	:read	nil
0	:ok	:read	504
1	:invoke	:read	nil
2	:invoke	:read	nil
1	:ok	:read	288
2	:ok	:read	233
0	:invoke	:read	nil
0	:ok	:read	504
0	:invoke	:read	nil
0	:ok	:read	504
1	:invoke	:read	nil
1	:ok	:read	288
2	:invoke	:read	nil
2	:ok	:read	233
0	:invoke	:read	nil
0	:ok	:read	504
0	:invoke	:read	nil
1	:invoke	:read	nil
0	:ok	:read	504
2	:invoke	:read	nil
1	:ok	:read	288
2	:ok	:read	233
0	:invoke	:add	4
